0,1707
1,1753.5
2,1763.5
3,1765
4,1774
5,1790
6,1818.5
7,1821
8,1828
9,1866
10,1876.5
11,1889.5
12,1904.5
13,1905
14,1911
15,1927
16,1934
17,1959.5
18,1962.5
19,1979.5
20,1982
21,1993
22,1993
23,2006
24,2008
25,2026
26,2039.5
27,2052
28,2059.5
29,2065
30,2074
31,2081
32,2099
33,2124
34,2139.5
35,2146.5
36,2161.5
37,2181
38,2200
39,2216
40,2235
41,2238.5
42,2240
43,2251
44,2259
45,2273.5
46,2295
47,2305
48,2310.5
49,2322
50,2335
51,2340
52,2347
53,2362
54,2373.5
55,2381.5
56,2387.5
57,2401.5
58,2411
59,2412
60,2417.5
61,2424
62,2424
63,2430.5
64,2449.5
65,2451
66,2460
67,2464
68,2467.5
69,2468
70,2470.5
71,2477
72,2486.5
73,2492
74,2495.5
75,2500.5
76,2501.5
77,2505.5
78,2509.5
79,2511
80,2513
81,2520.5
82,2524.5
83,2526
84,2529.5
85,2532.5
86,2534.5
87,2545.5
88,2545.5
89,2549
90,2550.5
91,2551
92,2553.5
93,2556
